"","dt","LandAverageTemperature","LandAverageTemperatureUncertainty","LandMaxTemperature","LandMaxTemperatureUncertainty","LandMinTemperature","LandMinTemperatureUncertainty","LandAndOceanAverageTemperature","LandAndOceanAverageTemperatureUncertainty","Country"
"787","1815-07-01",14.394,2.371,NA,NA,NA,NA,NA,NA,"Global"
"788","1815-08-01",13.209,1.348,NA,NA,NA,NA,NA,NA,"Global"
"789","1815-09-01",11.151,1.503,NA,NA,NA,NA,NA,NA,"Global"
"790","1815-10-01",7.137,2.295,NA,NA,NA,NA,NA,NA,"Global"
"791","1815-11-01",4.178,1.732,NA,NA,NA,NA,NA,NA,"Global"
"792","1815-12-01",1.221,2.207,NA,NA,NA,NA,NA,NA,"Global"
"793","1816-01-01",2.737,2.724,NA,NA,NA,NA,NA,NA,"Global"
"794","1816-02-01",0.676,2.947,NA,NA,NA,NA,NA,NA,"Global"
"795","1816-03-01",3.905,1.928,NA,NA,NA,NA,NA,NA,"Global"
"796","1816-04-01",7.606,2.129,NA,NA,NA,NA,NA,NA,"Global"
"797","1816-05-01",10.594,1.804,NA,NA,NA,NA,NA,NA,"Global"
"798","1816-06-01",11.79,1.087,NA,NA,NA,NA,NA,NA,"Global"
"799","1816-07-01",12.267,1.538,NA,NA,NA,NA,NA,NA,"Global"
"800","1816-08-01",12.57,1.257,NA,NA,NA,NA,NA,NA,"Global"
"801","1816-09-01",10.39,0.707,NA,NA,NA,NA,NA,NA,"Global"
"802","1816-10-01",5.699,3.583,NA,NA,NA,NA,NA,NA,"Global"
"803","1816-11-01",4.058,3.81,NA,NA,NA,NA,NA,NA,"Global"
"804","1816-12-01",0.958,2.801,NA,NA,NA,NA,NA,NA,"Global"
"805","1817-01-01",1.54,2.451,NA,NA,NA,NA,NA,NA,"Global"
"806","1817-02-01",3.649,2.547,NA,NA,NA,NA,NA,NA,"Global"
"807","1817-03-01",4.569,2.153,NA,NA,NA,NA,NA,NA,"Global"
"808","1817-04-01",7.889,1.836,NA,NA,NA,NA,NA,NA,"Global"
"809","1817-05-01",9.476,1.394,NA,NA,NA,NA,NA,NA,"Global"
"810","1817-06-01",11.287,1.25,NA,NA,NA,NA,NA,NA,"Global"
"811","1817-07-01",12.072,1.057,NA,NA,NA,NA,NA,NA,"Global"
"812","1817-08-01",13.403,1.307,NA,NA,NA,NA,NA,NA,"Global"
"813","1817-09-01",8.812,1.178,NA,NA,NA,NA,NA,NA,"Global"
"814","1817-10-01",6.203,1.963,NA,NA,NA,NA,NA,NA,"Global"
"815","1817-11-01",4.638,1.691,NA,NA,NA,NA,NA,NA,"Global"
"816","1817-12-01",0.17,1.673,NA,NA,NA,NA,NA,NA,"Global"
"817","1818-01-01",1.204,1.775,NA,NA,NA,NA,NA,NA,"Global"
"818","1818-02-01",0.755,1.912,NA,NA,NA,NA,NA,NA,"Global"
"819","1818-03-01",5.565,2.177,NA,NA,NA,NA,NA,NA,"Global"
"820","1818-04-01",9.901,2.662,NA,NA,NA,NA,NA,NA,"Global"
"821","1818-05-01",11.247,1.457,NA,NA,NA,NA,NA,NA,"Global"
"822","1818-06-01",13.825,2.26,NA,NA,NA,NA,NA,NA,"Global"
"823","1818-07-01",13.51,1.9,NA,NA,NA,NA,NA,NA,"Global"
"824","1818-08-01",13.166,0.996,NA,NA,NA,NA,NA,NA,"Global"
"825","1818-09-01",10.578,1.063,NA,NA,NA,NA,NA,NA,"Global"
"826","1818-10-01",6.654,1.704,NA,NA,NA,NA,NA,NA,"Global"
"827","1818-11-01",5.035,2.807,NA,NA,NA,NA,NA,NA,"Global"
"828","1818-12-01",2.507,1.236,NA,NA,NA,NA,NA,NA,"Global"
"829","1819-01-01",1.014,1.984,NA,NA,NA,NA,NA,NA,"Global"
"830","1819-02-01",2.286,1.995,NA,NA,NA,NA,NA,NA,"Global"
"831","1819-03-01",2.931,2.93,NA,NA,NA,NA,NA,NA,"Global"
"832","1819-04-01",7.029,1.344,NA,NA,NA,NA,NA,NA,"Global"
"833","1819-05-01",9.851,1.112,NA,NA,NA,NA,NA,NA,"Global"
"834","1819-06-01",12.526,1.539,NA,NA,NA,NA,NA,NA,"Global"
"835","1819-07-01",13.038,1.17,NA,NA,NA,NA,NA,NA,"Global"
"836","1819-08-01",12.557,1.124,NA,NA,NA,NA,NA,NA,"Global"
"837","1819-09-01",10.894,1.052,NA,NA,NA,NA,NA,NA,"Global"
"838","1819-10-01",9.312,1.223,NA,NA,NA,NA,NA,NA,"Global"
"839","1819-11-01",5.15,1.627,NA,NA,NA,NA,NA,NA,"Global"
"840","1819-12-01",1.842,1.883,NA,NA,NA,NA,NA,NA,"Global"
"841","1820-01-01",1.236,3.9,NA,NA,NA,NA,NA,NA,"Global"
"842","1820-02-01",2.145,2.004,NA,NA,NA,NA,NA,NA,"Global"
"843","1820-03-01",4.618,1.945,NA,NA,NA,NA,NA,NA,"Global"
"844","1820-04-01",8.7,1.168,NA,NA,NA,NA,NA,NA,"Global"
"845","1820-05-01",11.62,1.256,NA,NA,NA,NA,NA,NA,"Global"
"846","1820-06-01",13.323,0.912,NA,NA,NA,NA,NA,NA,"Global"
"847","1820-07-01",13.311,1.375,NA,NA,NA,NA,NA,NA,"Global"
"848","1820-08-01",11.978,1.317,NA,NA,NA,NA,NA,NA,"Global"
"849","1820-09-01",11.16,1.176,NA,NA,NA,NA,NA,NA,"Global"
"850","1820-10-01",7.588,1.605,NA,NA,NA,NA,NA,NA,"Global"
"851","1820-11-01",4.443,1.074,NA,NA,NA,NA,NA,NA,"Global"
"852","1820-12-01",1.273,1.693,NA,NA,NA,NA,NA,NA,"Global"
"853","1821-01-01",2.999,1.549,NA,NA,NA,NA,NA,NA,"Global"
"854","1821-02-01",3.758,2.018,NA,NA,NA,NA,NA,NA,"Global"
"855","1821-03-01",5.462,1.275,NA,NA,NA,NA,NA,NA,"Global"
"856","1821-04-01",7.739,0.858,NA,NA,NA,NA,NA,NA,"Global"
"857","1821-05-01",11.3,1.392,NA,NA,NA,NA,NA,NA,"Global"
"858","1821-06-01",12.608,1.424,NA,NA,NA,NA,NA,NA,"Global"
"859","1821-07-01",13.039,1.289,NA,NA,NA,NA,NA,NA,"Global"
"860","1821-08-01",13.145,1.482,NA,NA,NA,NA,NA,NA,"Global"
"861","1821-09-01",10.178,1.219,NA,NA,NA,NA,NA,NA,"Global"
"862","1821-10-01",8.535,0.924,NA,NA,NA,NA,NA,NA,"Global"
"863","1821-11-01",5.601,1.802,NA,NA,NA,NA,NA,NA,"Global"
"864","1821-12-01",2.717,1.278,NA,NA,NA,NA,NA,NA,"Global"
"865","1822-01-01",2.759,2.416,NA,NA,NA,NA,NA,NA,"Global"
"866","1822-02-01",4.465,1.83,NA,NA,NA,NA,NA,NA,"Global"
"867","1822-03-01",7.787,2.016,NA,NA,NA,NA,NA,NA,"Global"
"868","1822-04-01",8.278,1.295,NA,NA,NA,NA,NA,NA,"Global"
"869","1822-05-01",10.486,1.159,NA,NA,NA,NA,NA,NA,"Global"
"870","1822-06-01",13.067,0.899,NA,NA,NA,NA,NA,NA,"Global"
"871","1822-07-01",14.212,1.068,NA,NA,NA,NA,NA,NA,"Global"
"872","1822-08-01",13.215,0.896,NA,NA,NA,NA,NA,NA,"Global"
"873","1822-09-01",10.695,0.869,NA,NA,NA,NA,NA,NA,"Global"
"874","1822-10-01",7.774,1.163,NA,NA,NA,NA,NA,NA,"Global"
"875","1822-11-01",4.501,1.345,NA,NA,NA,NA,NA,NA,"Global"
"876","1822-12-01",1.021,1.547,NA,NA,NA,NA,NA,NA,"Global"
"877","1823-01-01",1.758,1.796,NA,NA,NA,NA,NA,NA,"Global"
"878","1823-02-01",1.966,1.93,NA,NA,NA,NA,NA,NA,"Global"
"879","1823-03-01",5.068,1.192,NA,NA,NA,NA,NA,NA,"Global"
"880","1823-04-01",7.665,1.677,NA,NA,NA,NA,NA,NA,"Global"
"881","1823-05-01",10.563,0.922,NA,NA,NA,NA,NA,NA,"Global"
"882","1823-06-01",13.958,1.125,NA,NA,NA,NA,NA,NA,"Global"
"883","1823-07-01",14.197,1.026,NA,NA,NA,NA,NA,NA,"Global"
"884","1823-08-01",13.13,0.694,NA,NA,NA,NA,NA,NA,"Global"
"885","1823-09-01",10.198,1.083,NA,NA,NA,NA,NA,NA,"Global"
"886","1823-10-01",7.642,1.24,NA,NA,NA,NA,NA,NA,"Global"
"887","1823-11-01",4.508,2.079,NA,NA,NA,NA,NA,NA,"Global"
"888","1823-12-01",1.971,1.583,NA,NA,NA,NA,NA,NA,"Global"
"889","1824-01-01",2.651,1.432,NA,NA,NA,NA,NA,NA,"Global"
"890","1824-02-01",2.679,1.784,NA,NA,NA,NA,NA,NA,"Global"
"891","1824-03-01",5.357,1.355,NA,NA,NA,NA,NA,NA,"Global"
"892","1824-04-01",8.375,1.288,NA,NA,NA,NA,NA,NA,"Global"
"893","1824-05-01",11.132,1.136,NA,NA,NA,NA,NA,NA,"Global"
"894","1824-06-01",13.427,1.953,NA,NA,NA,NA,NA,NA,"Global"
"895","1824-07-01",14.83,2.158,NA,NA,NA,NA,NA,NA,"Global"
"896","1824-08-01",13.437,0.924,NA,NA,NA,NA,NA,NA,"Global"
"897","1824-09-01",11.528,1.557,NA,NA,NA,NA,NA,NA,"Global"
"898","1824-10-01",8.197,0.774,NA,NA,NA,NA,NA,NA,"Global"
"899","1824-11-01",5.877,1.199,NA,NA,NA,NA,NA,NA,"Global"
"900","1824-12-01",5.076,1.814,NA,NA,NA,NA,NA,NA,"Global"
"901","1825-01-01",3.213,1.913,NA,NA,NA,NA,NA,NA,"Global"
"902","1825-02-01",3.092,1.479,NA,NA,NA,NA,NA,NA,"Global"
"903","1825-03-01",5.365,1.646,NA,NA,NA,NA,NA,NA,"Global"
"904","1825-04-01",8.988,1.964,NA,NA,NA,NA,NA,NA,"Global"
"905","1825-05-01",10.751,1.325,NA,NA,NA,NA,NA,NA,"Global"
"906","1825-06-01",13.765,1.049,NA,NA,NA,NA,NA,NA,"Global"
"907","1825-07-01",14.007,1.163,NA,NA,NA,NA,NA,NA,"Global"
"908","1825-08-01",13.269,1.335,NA,NA,NA,NA,NA,NA,"Global"
"909","1825-09-01",11.148,0.978,NA,NA,NA,NA,NA,NA,"Global"
"910","1825-10-01",7.979,1.261,NA,NA,NA,NA,NA,NA,"Global"
"911","1825-11-01",6.058,2.412,NA,NA,NA,NA,NA,NA,"Global"
"912","1825-12-01",3.037,1.569,NA,NA,NA,NA,NA,NA,"Global"
"913","1826-01-01",1.893,1.68,NA,NA,NA,NA,NA,NA,"Global"
"914","1826-02-01",1.533,1.619,NA,NA,NA,NA,NA,NA,"Global"
"915","1826-03-01",4.888,1.669,NA,NA,NA,NA,NA,NA,"Global"
"916","1826-04-01",8.403,2.204,NA,NA,NA,NA,NA,NA,"Global"
"917","1826-05-01",11.804,0.826,NA,NA,NA,NA,NA,NA,"Global"
"918","1826-06-01",13.02,1.539,NA,NA,NA,NA,NA,NA,"Global"
"919","1826-07-01",14.482,1.134,NA,NA,NA,NA,NA,NA,"Global"
"920","1826-08-01",13.109,1.511,NA,NA,NA,NA,NA,NA,"Global"
"921","1826-09-01",11.178,1.779,NA,NA,NA,NA,NA,NA,"Global"
"922","1826-10-01",8.459,1.789,NA,NA,NA,NA,NA,NA,"Global"
"923","1826-11-01",6.634,1.145,NA,NA,NA,NA,NA,NA,"Global"
"924","1826-12-01",4.876,1.82,NA,NA,NA,NA,NA,NA,"Global"
"925","1827-01-01",3.593,2.328,NA,NA,NA,NA,NA,NA,"Global"
"926","1827-02-01",4.415,1.952,NA,NA,NA,NA,NA,NA,"Global"
"927","1827-03-01",6.141,1.356,NA,NA,NA,NA,NA,NA,"Global"
"928","1827-04-01",9.429,2.669,NA,NA,NA,NA,NA,NA,"Global"
"929","1827-05-01",11.807,1.393,NA,NA,NA,NA,NA,NA,"Global"
"930","1827-06-01",13.548,1.228,NA,NA,NA,NA,NA,NA,"Global"
"931","1827-07-01",14.684,0.662,NA,NA,NA,NA,NA,NA,"Global"
"932","1827-08-01",13.694,0.79,NA,NA,NA,NA,NA,NA,"Global"
"933","1827-09-01",10.883,0.66,NA,NA,NA,NA,NA,NA,"Global"
"934","1827-10-01",8.51,1.222,NA,NA,NA,NA,NA,NA,"Global"
"935","1827-11-01",6.279,1.236,NA,NA,NA,NA,NA,NA,"Global"
"936","1827-12-01",2.722,1.827,NA,NA,NA,NA,NA,NA,"Global"
"937","1828-01-01",0.595,2.036,NA,NA,NA,NA,NA,NA,"Global"
"938","1828-02-01",1.853,2.002,NA,NA,NA,NA,NA,NA,"Global"
"939","1828-03-01",5.729,1.871,NA,NA,NA,NA,NA,NA,"Global"
"940","1828-04-01",8.737,1.471,NA,NA,NA,NA,NA,NA,"Global"
"941","1828-05-01",11.281,1.412,NA,NA,NA,NA,NA,NA,"Global"
"942","1828-06-01",14.124,1.081,NA,NA,NA,NA,NA,NA,"Global"
"943","1828-07-01",14.384,1.753,NA,NA,NA,NA,NA,NA,"Global"
"944","1828-08-01",13.635,0.975,NA,NA,NA,NA,NA,NA,"Global"
"945","1828-09-01",10.08,1.078,NA,NA,NA,NA,NA,NA,"Global"
"946","1828-10-01",8.656,1.832,NA,NA,NA,NA,NA,NA,"Global"
"947","1828-11-01",5.957,1.765,NA,NA,NA,NA,NA,NA,"Global"
"948","1828-12-01",2.953,2.505,NA,NA,NA,NA,NA,NA,"Global"
"949","1829-01-01",2.032,1.931,NA,NA,NA,NA,NA,NA,"Global"
"950","1829-02-01",1.715,1.959,NA,NA,NA,NA,NA,NA,"Global"
"951","1829-03-01",5.061,1.294,NA,NA,NA,NA,NA,NA,"Global"
"952","1829-04-01",7.815,1,NA,NA,NA,NA,NA,NA,"Global"
"953","1829-05-01",11.336,1.123,NA,NA,NA,NA,NA,NA,"Global"
"954","1829-06-01",12.86,1.312,NA,NA,NA,NA,NA,NA,"Global"
"955","1829-07-01",14.225,0.912,NA,NA,NA,NA,NA,NA,"Global"
"956","1829-08-01",13.399,0.86,NA,NA,NA,NA,NA,NA,"Global"
"957","1829-09-01",10.598,0.776,NA,NA,NA,NA,NA,NA,"Global"
"958","1829-10-01",8.806,1.312,NA,NA,NA,NA,NA,NA,"Global"
"959","1829-11-01",5.003,1.449,NA,NA,NA,NA,NA,NA,"Global"
"960","1829-12-01",2.452,1.909,NA,NA,NA,NA,NA,NA,"Global"
"961","1830-01-01",2.957,2.346,NA,NA,NA,NA,NA,NA,"Global"
"962","1830-02-01",4.085,1.896,NA,NA,NA,NA,NA,NA,"Global"
"963","1830-03-01",4.454,1.369,NA,NA,NA,NA,NA,NA,"Global"
"964","1830-04-01",8.841,1.098,NA,NA,NA,NA,NA,NA,"Global"
"965","1830-05-01",10.202,1.01,NA,NA,NA,NA,NA,NA,"Global"
"966","1830-06-01",12.827,1.718,NA,NA,NA,NA,NA,NA,"Global"
"967","1830-07-01",14.942,1.839,NA,NA,NA,NA,NA,NA,"Global"
"968","1830-08-01",13.386,0.643,NA,NA,NA,NA,NA,NA,"Global"
"969","1830-09-01",10.54,1.023,NA,NA,NA,NA,NA,NA,"Global"
"970","1830-10-01",7.993,1.18,NA,NA,NA,NA,NA,NA,"Global"
"971","1830-11-01",7.493,1.728,NA,NA,NA,NA,NA,NA,"Global"
"972","1830-12-01",4.481,1.327,NA,NA,NA,NA,NA,NA,"Global"
"973","1831-01-01",2.182,2.217,NA,NA,NA,NA,NA,NA,"Global"
"974","1831-02-01",2.479,3.541,NA,NA,NA,NA,NA,NA,"Global"
"975","1831-03-01",4.558,1.616,NA,NA,NA,NA,NA,NA,"Global"
"976","1831-04-01",7.731,0.908,NA,NA,NA,NA,NA,NA,"Global"
"977","1831-05-01",10.994,1.285,NA,NA,NA,NA,NA,NA,"Global"
"978","1831-06-01",13.203,1.882,NA,NA,NA,NA,NA,NA,"Global"
"979","1831-07-01",13.58,1.172,NA,NA,NA,NA,NA,NA,"Global"
"980","1831-08-01",12.49,0.793,NA,NA,NA,NA,NA,NA,"Global"
"981","1831-09-01",9.946,0.954,NA,NA,NA,NA,NA,NA,"Global"
"982","1831-10-01",7.83,1.068,NA,NA,NA,NA,NA,NA,"Global"
"983","1831-11-01",4.412,1.358,NA,NA,NA,NA,NA,NA,"Global"
"984","1831-12-01",2.265,1.584,NA,NA,NA,NA,NA,NA,"Global"
"985","1832-01-01",1.717,1.757,NA,NA,NA,NA,NA,NA,"Global"
"986","1832-02-01",1.833,1.656,NA,NA,NA,NA,NA,NA,"Global"
"987","1832-03-01",4.65,1.374,NA,NA,NA,NA,NA,NA,"Global"
"988","1832-04-01",8.059,1.059,NA,NA,NA,NA,NA,NA,"Global"
"989","1832-05-01",10.489,1.252,NA,NA,NA,NA,NA,NA,"Global"
"990","1832-06-01",12.857,1.126,NA,NA,NA,NA,NA,NA,"Global"
"991","1832-07-01",13.727,2.067,NA,NA,NA,NA,NA,NA,"Global"
"992","1832-08-01",11.966,1.309,NA,NA,NA,NA,NA,NA,"Global"
"993","1832-09-01",10.426,1.194,NA,NA,NA,NA,NA,NA,"Global"
"994","1832-10-01",8.634,0.983,NA,NA,NA,NA,NA,NA,"Global"
"995","1832-11-01",4.262,1.914,NA,NA,NA,NA,NA,NA,"Global"
"996","1832-12-01",0.782,2.794,NA,NA,NA,NA,NA,NA,"Global"
"997","1833-01-01",2.006,1.76,NA,NA,NA,NA,NA,NA,"Global"
"998","1833-02-01",2.815,1.354,NA,NA,NA,NA,NA,NA,"Global"
"999","1833-03-01",4.521,1.367,NA,NA,NA,NA,NA,NA,"Global"
"1000","1833-04-01",7.869,1.076,NA,NA,NA,NA,NA,NA,"Global"
"1001","1833-05-01",10.581,0.961,NA,NA,NA,NA,NA,NA,"Global"
"1002","1833-06-01",13.049,0.883,NA,NA,NA,NA,NA,NA,"Global"
"1003","1833-07-01",13.803,1.42,NA,NA,NA,NA,NA,NA,"Global"
"1004","1833-08-01",13.222,0.835,NA,NA,NA,NA,NA,NA,"Global"
"1005","1833-09-01",11.236,0.819,NA,NA,NA,NA,NA,NA,"Global"
"1006","1833-10-01",7.9,1.108,NA,NA,NA,NA,NA,NA,"Global"
"1007","1833-11-01",6.596,1.388,NA,NA,NA,NA,NA,NA,"Global"
"1008","1833-12-01",2.558,1.831,NA,NA,NA,NA,NA,NA,"Global"
"1009","1834-01-01",0.334,2.032,NA,NA,NA,NA,NA,NA,"Global"
"1010","1834-02-01",2.329,1.483,NA,NA,NA,NA,NA,NA,"Global"
"1011","1834-03-01",5.736,1.28,NA,NA,NA,NA,NA,NA,"Global"
"1012","1834-04-01",8.085,1.11,NA,NA,NA,NA,NA,NA,"Global"
"1013","1834-05-01",11.234,0.697,NA,NA,NA,NA,NA,NA,"Global"
"1014","1834-06-01",12.799,0.761,NA,NA,NA,NA,NA,NA,"Global"
"1015","1834-07-01",14.197,1.186,NA,NA,NA,NA,NA,NA,"Global"
"1016","1834-08-01",13.412,0.866,NA,NA,NA,NA,NA,NA,"Global"
"1017","1834-09-01",11.571,0.731,NA,NA,NA,NA,NA,NA,"Global"
"1018","1834-10-01",8.617,0.773,NA,NA,NA,NA,NA,NA,"Global"
"1019","1834-11-01",6.355,1.849,NA,NA,NA,NA,NA,NA,"Global"
"1020","1834-12-01",3.092,1.059,NA,NA,NA,NA,NA,NA,"Global"
"1021","1835-01-01",2.551,1.755,NA,NA,NA,NA,NA,NA,"Global"
"1022","1835-02-01",2.967,1.464,NA,NA,NA,NA,NA,NA,"Global"
"1023","1835-03-01",4.507,1.136,NA,NA,NA,NA,NA,NA,"Global"
"1024","1835-04-01",7.769,1.079,NA,NA,NA,NA,NA,NA,"Global"
"1025","1835-05-01",10.171,1.447,NA,NA,NA,NA,NA,NA,"Global"
"1026","1835-06-01",12.007,0.992,NA,NA,NA,NA,NA,NA,"Global"
"1027","1835-07-01",13.129,0.693,NA,NA,NA,NA,NA,NA,"Global"
"1028","1835-08-01",12.322,0.805,NA,NA,NA,NA,NA,NA,"Global"
"1029","1835-09-01",9.942,0.925,NA,NA,NA,NA,NA,NA,"Global"
"1030","1835-10-01",7.835,1.021,NA,NA,NA,NA,NA,NA,"Global"
"1031","1835-11-01",4.312,1.419,NA,NA,NA,NA,NA,NA,"Global"
"1032","1835-12-01",1.198,2.568,NA,NA,NA,NA,NA,NA,"Global"
"1033","1836-01-01",1.67,1.698,NA,NA,NA,NA,NA,NA,"Global"
"1034","1836-02-01",2.371,1.611,NA,NA,NA,NA,NA,NA,"Global"
"1035","1836-03-01",5.448,1.208,NA,NA,NA,NA,NA,NA,"Global"
"1036","1836-04-01",7.315,0.983,NA,NA,NA,NA,NA,NA,"Global"
"1037","1836-05-01",10.279,1.297,NA,NA,NA,NA,NA,NA,"Global"
"1038","1836-06-01",12.549,0.893,NA,NA,NA,NA,NA,NA,"Global"
"1039","1836-07-01",13.646,0.6,NA,NA,NA,NA,NA,NA,"Global"
"1040","1836-08-01",12.83,1.362,NA,NA,NA,NA,NA,NA,"Global"
"1041","1836-09-01",10.812,0.975,NA,NA,NA,NA,NA,NA,"Global"
"1042","1836-10-01",8.756,1.131,NA,NA,NA,NA,NA,NA,"Global"
"1043","1836-11-01",3.814,1.192,NA,NA,NA,NA,NA,NA,"Global"
"1044","1836-12-01",2.86,1.083,NA,NA,NA,NA,NA,NA,"Global"
"1045","1837-01-01",1.94,2.033,NA,NA,NA,NA,NA,NA,"Global"
"1046","1837-02-01",2.619,1.893,NA,NA,NA,NA,NA,NA,"Global"
"1047","1837-03-01",3.865,1.326,NA,NA,NA,NA,NA,NA,"Global"
"1048","1837-04-01",6.556,1.017,NA,NA,NA,NA,NA,NA,"Global"
"1049","1837-05-01",9.973,1.574,NA,NA,NA,NA,NA,NA,"Global"
"1050","1837-06-01",12.099,0.798,NA,NA,NA,NA,NA,NA,"Global"
"1051","1837-07-01",13.526,1.618,NA,NA,NA,NA,NA,NA,"Global"
"1052","1837-08-01",13.018,1.224,NA,NA,NA,NA,NA,NA,"Global"
"1053","1837-09-01",10.805,0.664,NA,NA,NA,NA,NA,NA,"Global"
"1054","1837-10-01",7.653,0.851,NA,NA,NA,NA,NA,NA,"Global"
"1055","1837-11-01",4.169,1.307,NA,NA,NA,NA,NA,NA,"Global"
"1056","1837-12-01",2.285,1.186,NA,NA,NA,NA,NA,NA,"Global"
"1057","1838-01-01",-0.557,1.999,NA,NA,NA,NA,NA,NA,"Global"
"1058","1838-02-01",1.563,1.622,NA,NA,NA,NA,NA,NA,"Global"
"1059","1838-03-01",3.723,1.472,NA,NA,NA,NA,NA,NA,"Global"
"1060","1838-04-01",7.383,1.339,NA,NA,NA,NA,NA,NA,"Global"
"1061","1838-05-01",9.985,0.822,NA,NA,NA,NA,NA,NA,"Global"
"1062","1838-06-01",12.742,0.631,NA,NA,NA,NA,NA,NA,"Global"
"1063","1838-07-01",14.367,0.884,NA,NA,NA,NA,NA,NA,"Global"
"1064","1838-08-01",13.568,0.986,NA,NA,NA,NA,NA,NA,"Global"
"1065","1838-09-01",11.106,0.889,NA,NA,NA,NA,NA,NA,"Global"
"1066","1838-10-01",8.526,1.021,NA,NA,NA,NA,NA,NA,"Global"
"1067","1838-11-01",5.16,1.044,NA,NA,NA,NA,NA,NA,"Global"
"1068","1838-12-01",2.613,1.239,NA,NA,NA,NA,NA,NA,"Global"
"1069","1839-01-01",2.156,1.681,NA,NA,NA,NA,NA,NA,"Global"
"1070","1839-02-01",3.482,1.546,NA,NA,NA,NA,NA,NA,"Global"
"1071","1839-03-01",2.673,1.493,NA,NA,NA,NA,NA,NA,"Global"
"1072","1839-04-01",7.892,0.92,NA,NA,NA,NA,NA,NA,"Global"
"1073","1839-05-01",10.289,0.68,NA,NA,NA,NA,NA,NA,"Global"
"1074","1839-06-01",12.548,0.839,NA,NA,NA,NA,NA,NA,"Global"
"1075","1839-07-01",14.411,0.942,NA,NA,NA,NA,NA,NA,"Global"
"1076","1839-08-01",14.07,1.296,NA,NA,NA,NA,NA,NA,"Global"
"1077","1839-09-01",10.853,0.714,NA,NA,NA,NA,NA,NA,"Global"
"1078","1839-10-01",8.219,0.972,NA,NA,NA,NA,NA,NA,"Global"
"1079","1839-11-01",3.92,1.451,NA,NA,NA,NA,NA,NA,"Global"
"1080","1839-12-01",1.074,1.619,NA,NA,NA,NA,NA,NA,"Global"
"1081","1840-01-01",2.561,1.468,NA,NA,NA,NA,NA,NA,"Global"
"1082","1840-02-01",2.102,1.561,NA,NA,NA,NA,NA,NA,"Global"
"1083","1840-03-01",4.04,1.469,NA,NA,NA,NA,NA,NA,"Global"
"1084","1840-04-01",7.943,0.776,NA,NA,NA,NA,NA,NA,"Global"
"1085","1840-05-01",11.173,0.698,NA,NA,NA,NA,NA,NA,"Global"
"1086","1840-06-01",13.411,1.028,NA,NA,NA,NA,NA,NA,"Global"
"1087","1840-07-01",14.714,0.462,NA,NA,NA,NA,NA,NA,"Global"
"1088","1840-08-01",13.086,0.936,NA,NA,NA,NA,NA,NA,"Global"
"1089","1840-09-01",11.01,0.586,NA,NA,NA,NA,NA,NA,"Global"
"1090","1840-10-01",7.505,0.853,NA,NA,NA,NA,NA,NA,"Global"
"1091","1840-11-01",4.101,0.982,NA,NA,NA,NA,NA,NA,"Global"
"1092","1840-12-01",1.909,1.075,NA,NA,NA,NA,NA,NA,"Global"
"1093","1841-01-01",0.649,1.761,NA,NA,NA,NA,NA,NA,"Global"
"1094","1841-02-01",2.468,1.602,NA,NA,NA,NA,NA,NA,"Global"
"1095","1841-03-01",3.307,1.324,NA,NA,NA,NA,NA,NA,"Global"
"1096","1841-04-01",6.77,0.942,NA,NA,NA,NA,NA,NA,"Global"
"1097","1841-05-01",10.764,0.573,NA,NA,NA,NA,NA,NA,"Global"
"1098","1841-06-01",13.062,0.64,NA,NA,NA,NA,NA,NA,"Global"
"1099","1841-07-01",14.552,0.737,NA,NA,NA,NA,NA,NA,"Global"
"1100","1841-08-01",13.708,0.749,NA,NA,NA,NA,NA,NA,"Global"
"1101","1841-09-01",10.921,0.583,NA,NA,NA,NA,NA,NA,"Global"
"1102","1841-10-01",8.765,0.654,NA,NA,NA,NA,NA,NA,"Global"
"1103","1841-11-01",4.744,0.878,NA,NA,NA,NA,NA,NA,"Global"
"1104","1841-12-01",2.548,0.981,NA,NA,NA,NA,NA,NA,"Global"
"1105","1842-01-01",1.636,1.64,NA,NA,NA,NA,NA,NA,"Global"
"1106","1842-02-01",2.787,1.56,NA,NA,NA,NA,NA,NA,"Global"
"1107","1842-03-01",5.75,1.164,NA,NA,NA,NA,NA,NA,"Global"
"1108","1842-04-01",8.31,0.76,NA,NA,NA,NA,NA,NA,"Global"
"1109","1842-05-01",10.535,0.643,NA,NA,NA,NA,NA,NA,"Global"
"1110","1842-06-01",12.629,0.661,NA,NA,NA,NA,NA,NA,"Global"
"1111","1842-07-01",13.584,0.509,NA,NA,NA,NA,NA,NA,"Global"
"1112","1842-08-01",13.241,0.642,NA,NA,NA,NA,NA,NA,"Global"
"1113","1842-09-01",10.94,0.677,NA,NA,NA,NA,NA,NA,"Global"
"1114","1842-10-01",8.307,0.759,NA,NA,NA,NA,NA,NA,"Global"
"1115","1842-11-01",4.824,0.792,NA,NA,NA,NA,NA,NA,"Global"
"1116","1842-12-01",3.73,0.963,NA,NA,NA,NA,NA,NA,"Global"
"1117","1843-01-01",2.974,1.212,NA,NA,NA,NA,NA,NA,"Global"
"1118","1843-02-01",3.92,1.045,NA,NA,NA,NA,NA,NA,"Global"
"1119","1843-03-01",4.744,0.88,NA,NA,NA,NA,NA,NA,"Global"
"1120","1843-04-01",7.83,0.691,NA,NA,NA,NA,NA,NA,"Global"
"1121","1843-05-01",10.04,0.636,NA,NA,NA,NA,NA,NA,"Global"
